PIC_ID,WETLAND_NAME,ADDRESS,LATITUDE,LONGITUDE,WETLAND_TYPE
468,못골습지,경상남도 함안군 칠북면 검단리,"N36°17’12.38""","E128°36’45.96""",인공수로습지
469,장수방소류지,경상남도 함안군 칠원읍 운곡리,"N36°19’02.68""","E128°32’00.54""",담수호습지
470,모암소류지,경상남도 창원시의창구 동읍 신방리,"N36°20’00.59""","E128°28’54.57""",담수호습지
471,화양리1습지,경상남도 창원시의창구 동읍 화양리,"N36°22’07.67""","E128°27’44.01""",대체습지
472,화양리2습지,경상남도 창원시의창구 동읍 화양리,"N36°30’43.90""","E128°24’58.93""",인공수로습지
473,화량리3습지,경상남도 창원시의창구 동읍 화양리,"N36°26’06.92""","E128°27’39.90""",소택지
474,단조늪,경상남도 양산시 원동면 선리,"N36°21’00.46""","E128°40’08.80""",고층습원
475,가화늪,경상남도 진주시 명석면 가화리,"N35°43’05.81""","E128°34’34.10""",인공호습지
476,대밭골늪,경상남도 진주시 금산면 속사리,"N35°44’41.64""","E128°53’29.99""",하도습지
477,신담늪,경상남도 진주시 금곡면 정자리,"N35°35’21.09""","E128°48’04.78""",하도습지
478,옥산늪,경상남도 진주시 문산읍 옥산리,"N35°37’41.22""","E128°49’11.24""",하도습지
479,정자늪,경상남도 진주시 문산읍 두산리,"N35°37’55.65""","E128°50’36.16""",하도습지
480,연논늪,경상남도 진주시 문산읍 이곡리,"N35°42’35.08""","E128°57’44.83""",우각호습지
481,주봉저수지습지,경상남도 진주시 금곡면 가봉리,"N35°34’37.13""","E128°47’51.57""",인공호습지
482,소리재못소류지,경상남도 함안군 군북면 사촌리,"N36°18’42.35""","E129°07’32.73""",저층습원
483,기일골소류지,경상남도 함안군 가야읍 혈곡리,"N36°20’03.34""","E129°04’19.54""",담수호습지
484,봉성리습지,경상남도 함안군 함안면 봉성리,"N36°19’37.38""","E129°05’02.79""",소택지
485,미산소류지,경상남도 함안군 함안면 파수리,"N36°17’43.38""","E129°09’29.07""",인공호습지
486,토성저수지,경상남도 김해시 진례면 송정리,"N36°21’03.41""","E129°05’30.47""",인공수로습지
487,도강저수지,경상남도 김해시 진례면 송정리,"N36°21’49.04""","E129°04’40.89""",인공호습지
488,사파정저수지,경상남도 김해시 진례면 신안리,"N36°21’45.85""","E129°11’23.95""",담수호습지
489,고촌천2습지,경상북도 영천시 고경면 전사리,"N36°20’00.21""","E128°59’12.49""",하도습지
490,고촌천1습지,경상북도 영천시 고경면 동도리,"N36°16’12.54""","E128°58’53.97""",하도습지
491,심곡지습지,경상북도 경주시 서면 도리,"N36°33’19.50""","E129°01’05.71""",담수호습지
492,오미지습지(경주),경상북도 경주시 건천읍 신평리,"N36°23’23.54""","E129°04’34.78""",담수호습지
493,이조천 하상습지,경상북도 경주시 내남면 상신리,"N36°29’21.19""","E129°01’07.07""",하도습지
494,배동 구하도습지,경상북도 경주시 내남면 망성리,"N36°25’04.21""","E129°00’53.57""",우각호습지
495,서출지습지,경상북도 경주시 내남면 용장리,"N36°29’20.98""","E129°00’18.67""",담수호습지
496,화랑촌습지,경상북도 경주시 천북면 화산리,"N36°28’16.21""","E129°01’55.28""",소택지
497,산막골습지,경상북도 경주시 천북면 갈곡리,"N36°16’19.70""","E129°03’21.94""",소택지
498,감뒤골습지,경상북도 경주시 감포읍 감포리,"N36°13’48.48""","E128°57’38.13""",소택지
499,호동습지,경상북도 경주시 감포읍 호동리,"N35°57’49.32""","E128°35’16.59""",소택지
500,오류습지,경상북도 경주시 감포읍 오류리,"N35°55’26.01""","E128°39’00.12""",사구습지
501,미역골습지,경상북도 경주시 내남면 노곡리,"N35°59’55.81""","E128°33’16.72""",하도습지
502,이조습지,경상북도 경주시 내남면 노곡리,"N35°57’57.38""","E128°33’53.51""",하도습지
503,삽다리못,울산광역시 울주군 두동면 월평리,"N36°03’05.37""","E128°24’22.89""",인공호습지
504,외바위골늪,울산광역시 울주군 삼남면 가천리,"N35°58’26.61""","E129°22’01.97""",담수호습지
505,떼기늪,경상북도 경주시 양남면 신대리,"N36°00’29.00""","E129°21’03.25""",저습지
506,기백이재늪,경상북도 경주시 양남면 신대리,"N35°58’52.60""","E129°20’59.47""",저습지
507,기령늪,경상북도 경주시 양남면 신대리,"N36°03’23.55""","E129°13’37.97""",저습지
508,고추늪,경상북도 경주시 양남면 신대리,"N36°03’53.06""","E129°12’39.66""",저습지
509,돌티미늪,경상북도 경주시 양남면 신대리,"N36°03’53.19""","E129°12’08.36""",저습지
510,매실긴늪,경상북도 경주시 양남면 신대리,"N36°07’29.14""","E129°09’01.47""",저습지
511,매실큰늪,경상북도 경주시 양남면 신대리,"N36°11’12.83""","E129°12’31.90""",저층습원
512,깊은골늪,경상북도 경주시 양남면 신대리,"N36°08’30.13""","E129°10’44.25""",저습지
513,매실옆늪,경상북도 경주시 양남면 신대리,"N36°13’07.06""","E129°15’28.03""",저층습원
514,신흥재북늪,경상북도 경주시 양남면 신대리,"N36°16’58.14""","E129°14’31.10""",저습지
515,신흥재샛늪,경상북도 경주시 양남면 신대리,"N36°17’28.08""","E129°14’43.46""",저습지
516,창포늪,경상북도 경주시 양남면 신대리,"N36°12’28.28""","E129°21’10.65""",저층습원
517,신흥재남늪,경상북도 경주시 양남면 신대리,"N36°13’05.78""","E129°18’24.40""",저습지
518,감은사못,경상북도 경주시 양북면 용당리,"N36°06’03.02""","E129°23’24.57""",인공수로습지
519,송계습지,경상남도 산청군 생비량면 가계리,"N36°08’34.36""","E129°20’53.19""",하도습지
520,내회습지,울산광역시 울주군 온산읍 삼평리,"N36°06’59.47""","E129°18’48.21""",하도습지
521,용암습지(울주),울산광역시 울주군 청량면 용암리,"N36°07’30.47""","E129°21’11.31""",하도습지
522,회야습지,울산광역시 울주군 청량면 중리,"N36°07’44.06""","E129°24’09.04""",인공호습지
523,하회큰늪,울산광역시 울주군 온양읍 고산리,"N35°50’34.24""","E128°33’35.51""",담수호습지
524,도가늪,경상남도 진주시 문산읍 이곡리,"N35°49’39.07""","E128°37’04.31""",배후습지
525,오산리습지,경상북도 울진군 매화면 오산리,"N35°44’41.91""","E128°36’24.62""",소택지
